x 	 y1 	 y2
-10.00 	 281.000 	 -319.000
-9.59 	 257.826 	 -294.194
-9.18 	 235.652 	 -270.387
-8.78 	 214.478 	 -247.580
-8.37 	 194.303 	 -225.772
-7.96 	 175.127 	 -204.964
-7.55 	 156.952 	 -185.156
-7.14 	 139.776 	 -166.347
-6.73 	 123.599 	 -148.538
-6.33 	 108.422 	 -131.728
-5.92 	 94.244 	 -115.918
-5.51 	 81.067 	 -101.107
-5.10 	 68.888 	 -87.297
-4.69 	 57.710 	 -74.485
-4.29 	 47.531 	 -62.673
-3.88 	 38.351 	 -51.861
-3.47 	 30.171 	 -42.049
-3.06 	 22.991 	 -33.236
-2.65 	 16.810 	 -25.422
-2.24 	 11.629 	 -18.608
-1.84 	 7.447 	 -12.794
-1.43 	 4.265 	 -7.980
-1.02 	 2.083 	 -4.165
-0.61 	 0.900 	 -1.349
-0.20 	 0.717 	 0.467
0.20 	 1.533 	 1.283
0.61 	 3.349 	 1.100
1.02 	 6.165 	 -0.083
1.43 	 9.980 	 -2.265
1.84 	 14.794 	 -5.447
2.24 	 20.608 	 -9.629
2.65 	 27.422 	 -14.810
3.06 	 35.236 	 -20.991
3.47 	 44.049 	 -28.171
3.88 	 53.861 	 -36.351
4.29 	 64.673 	 -45.531
4.69 	 76.485 	 -55.710
5.10 	 89.297 	 -66.888
5.51 	 103.107 	 -79.067
5.92 	 117.918 	 -92.244
6.33 	 133.728 	 -106.422
6.73 	 150.538 	 -121.599
7.14 	 168.347 	 -137.776
7.55 	 187.156 	 -154.952
7.96 	 206.964 	 -173.127
8.37 	 227.772 	 -192.303
8.78 	 249.580 	 -212.478
9.18 	 272.387 	 -233.652
9.59 	 296.194 	 -255.826
10.00 	 321.000 	 -279.000
