x 	 y 	 u
  -3.14159 	   -3.14159 	    0.00000e+00
  -3.01593 	   -3.14159 	    0.00000e+00
  -2.89027 	   -3.14159 	    0.00000e+00
  -2.76460 	   -3.14159 	    0.00000e+00
  -2.63894 	   -3.14159 	    0.00000e+00
  -2.51327 	   -3.14159 	    0.00000e+00
  -2.38761 	   -3.14159 	    0.00000e+00
  -2.26195 	   -3.14159 	    0.00000e+00
  -2.13628 	   -3.14159 	    0.00000e+00
  -2.01062 	   -3.14159 	    0.00000e+00
  -1.88496 	   -3.14159 	    0.00000e+00
  -1.75929 	   -3.14159 	    0.00000e+00
  -1.63363 	   -3.14159 	    0.00000e+00
  -1.50796 	   -3.14159 	    0.00000e+00
  -1.38230 	   -3.14159 	    0.00000e+00
  -1.25664 	   -3.14159 	    0.00000e+00
  -1.13097 	   -3.14159 	    0.00000e+00
  -1.00531 	   -3.14159 	    0.00000e+00
  -0.87965 	   -3.14159 	    0.00000e+00
  -0.75398 	   -3.14159 	    0.00000e+00
  -0.62832 	   -3.14159 	    0.00000e+00
  -0.50265 	   -3.14159 	    0.00000e+00
  -0.37699 	   -3.14159 	    0.00000e+00
  -0.25133 	   -3.14159 	    0.00000e+00
  -0.12566 	   -3.14159 	    0.00000e+00
   0.00000 	   -3.14159 	    0.00000e+00
   0.12566 	   -3.14159 	    0.00000e+00
   0.25133 	   -3.14159 	    0.00000e+00
   0.37699 	   -3.14159 	    0.00000e+00
   0.50265 	   -3.14159 	    0.00000e+00
   0.62832 	   -3.14159 	    0.00000e+00
   0.75398 	   -3.14159 	    0.00000e+00
   0.87965 	   -3.14159 	    0.00000e+00
   1.00531 	   -3.14159 	    0.00000e+00
   1.13097 	   -3.14159 	    0.00000e+00
   1.25664 	   -3.14159 	    0.00000e+00
   1.38230 	   -3.14159 	    0.00000e+00
   1.50796 	   -3.14159 	    0.00000e+00
   1.63363 	   -3.14159 	    0.00000e+00
   1.75929 	   -3.14159 	    0.00000e+00
   1.88496 	   -3.14159 	    0.00000e+00
   2.01062 	   -3.14159 	    0.00000e+00
   2.13628 	   -3.14159 	    0.00000e+00
   2.26195 	   -3.14159 	    0.00000e+00
   2.38761 	   -3.14159 	    0.00000e+00
   2.51327 	   -3.14159 	    0.00000e+00
   2.63894 	   -3.14159 	    0.00000e+00
   2.76460 	   -3.14159 	    0.00000e+00
   2.89027 	   -3.14159 	    0.00000e+00
   3.01593 	   -3.14159 	    0.00000e+00
   3.14159 	   -3.14159 	    0.00000e+00
  -3.14159 	   -3.01593 	    0.00000e+00
  -3.01593 	   -3.01593 	    1.57291e-02
  -2.89027 	   -3.01593 	    3.12102e-02
  -2.76460 	   -3.01593 	    4.61990e-02
  -2.63894 	   -3.01593 	    6.04593e-02
  -2.51327 	   -3.01593 	    7.37660e-02
  -2.38761 	   -3.01593 	    8.59095e-02
  -2.26195 	   -3.01593 	    9.66981e-02
  -2.13628 	   -3.01593 	    1.05962e-01
  -2.01062 	   -3.01593 	    1.13554e-01
  -1.88496 	   -3.01593 	    1.19356e-01
  -1.75929 	   -3.01593 	    1.23275e-01
  -1.63363 	   -3.01593 	    1.25251e-01
  -1.50796 	   -3.01593 	    1.25251e-01
  -1.38230 	   -3.01593 	    1.23275e-01
  -1.25664 	   -3.01593 	    1.19356e-01
  -1.13097 	   -3.01593 	    1.13554e-01
  -1.00531 	   -3.01593 	    1.05962e-01
  -0.87965 	   -3.01593 	    9.66981e-02
  -0.75398 	   -3.01593 	    8.59095e-02
  -0.62832 	   -3.01593 	    7.37660e-02
  -0.50265 	   -3.01593 	    6.04593e-02
  -0.37699 	   -3.01593 	    4.61990e-02
  -0.25133 	   -3.01593 	    3.12102e-02
